business_date,shift_name,machine_type,machine_name,oid,period_start_time,period_end_time,active,idle,inrepair,breakdown,target_arc_time,unknown_a,deposit,unknown_b,target_deposit,unknown_c,mid,machine_type_verified,total_accounted_minutes,time_allocation_valid,arc_efficiency_pct,deposit_efficiency_pct
2024-07-04 00:00:00+05:30,B,GMAW,D&H-1,1048577,14:40:01+05:30,14:50:00+05:30,267,33,0,158,0,58,4,3,267,0,16.0,GMAW,458,True,,1.5
2024-07-04 00:00:00+05:30,A,GMAW,D&H-9,520192,11:20:01+05:30,09:20:00+05:30,112,188,0,97,0,93,86,11,107,2,8.0,GMAW,397,True,,80.37
2024-07-04 00:00:00+05:30,A,GMAW,D&H-4,0,09:40:01+05:30,09:45:00+05:30,38,262,0,33,0,38,1,4,38,0,,,333,True,,2.63
2024-07-04 00:00:00+05:30,A,GMAW,D&H-2,0,10:00:01+05:30,09:00:00+05:30,3842,-3542,1,1374,153,1693,2658,70,603,2612,9.0,GMAW,1675,False,2511.11,440.8
2024-07-04 00:00:00+05:30,A,GMAW,D&H-1,1048577,10:00:01+05:30,09:00:00+05:30,2496,-2196,0,1242,3,1935,36,26,741,32,16.0,GMAW,1542,False,83200.0,4.86
2024-07-04 00:00:00+05:30,B,GMAW,D&H-2,0,14:25:01+05:30,14:50:00+05:30,324,-24,0,296,0,324,4,5,322,0,9.0,GMAW,596,False,,1.24
2024-07-04 00:00:00+05:30,A,GMAW,LINCOLN-4,0,13:30:01+05:30,14:00:00+05:30,1109,-809,0,1068,400,62,0,1109,1106,3,24.0,GMAW,1368,False,277.25,0.0
2024-07-04 00:00:00+05:30,B,GMAW,LINCOLN-4,0,14:45:01+05:30,14:55:00+05:30,21,279,0,11,6,8,0,21,14,6,24.0,GMAW,311,True,350.0,0.0
2024-07-04 00:00:00+05:30,A,GMAW,D&H-7,7340039,13:40:01+05:30,13:50:00+05:30,58,242,0,19,0,58,0,58,0,32,22.0,GMAW,319,True,,
2024-07-04 00:00:00+05:30,A,GMAW,LINCOLN-10,835584,10:15:01+05:30,11:45:00+05:30,1193,-893,0,233,114,483,343,38,0,1193,23.0,GMAW,533,False,1046.49,
2024-07-04 00:00:00+05:30,B,GMAW,D&H-4,0,14:15:01+05:30,14:20:00+05:30,22,278,0,19,5,7,1,2,22,0,,,319,True,440.0,4.55
